country,continent,youthRate,elderlyRate
Afghanistan,Asia,58.154899597168,12.8620700836182
Albania,Europe,99.0291976928711,90.8526306152344
Algeria,Africa,96.7526016235352,27.6719093322754
Angola,Africa,72.9267883300781,41.5653610229492
Argentina,South America,99.3043670654297,95.0916595458984
Armenia,Asia,99.8453979492188,99.1479873657227
Aruba,North America,99.4122009277344,92.8759536743164
Azerbaijan,Asia,99.9560012817383,98.4149932861328
Bahrain,Asia,99.7718811035156,64.8073272705078
Bangladesh,Asia,83.1978073120117,31.6449108123779
Belarus,Europe,99.8401870727539,99.2036209106445
Belize,North America,88.6058120727539,66.4416122436523
Benin,Africa,52.5492401123047,10.3368997573853
Bhutan,Asia,92.0408401489258,17.7892894744873
Bolivia,South America,99.0404891967773,75.1755599975586
Bosnia and Herzegovina,Europe,99.6522064208984,93.0818786621094
Botswana,Africa,97.8123168945313,42.5535087585449
Brazil,South America,98.9323883056641,74.1957473754883
Brunei,Asia,99.6049270629883,71.1070327758789
Bulgaria,Europe,98.0003662109375,97.9469909667969
Burkina Faso,Africa,52.5093116760254,8.41876983642578
Burundi,Africa,87.6179809570313,63.6303100585938
Cambodia,Asia,91.5350189208984,51.4714202880859
Cameroon,Africa,83.7973709106445,33.1864891052246
Cape Verde,Africa,98.3426971435547,37.8136100769043
Central African Republic,Africa,36.3562698364258,34.1908493041992
Chad,Africa,52.7481803894043,7.39445018768311
Chile,South America,99.1464385986328,89.7359771728516
China,Asia,99.7288589477539,81.2825164794922
Colombia,South America,98.6556396484375,81.2927093505859
Comoros,Africa,87.4791717529297,41.804370880127
Congo,Africa,80.913948059082,73.0835266113281
Costa Rica,North America,99.3229217529297,92.1985473632813
Cote d'Ivoire,Africa,50.2375793457031,27.6193695068359
Croatia,Europe,99.7423400878906,97.8473129272461
Cuba,North America,99.8902969360352,99.6185989379883
Cyprus,Europe,99.85888671875,95.7007064819336
Democratic Republic of Congo,Africa,86.0684432983398,48.9702186584473
Dominican Republic,North America,97.8985595703125,79.8918533325195
Ecuador,South America,98.8251571655273,76.2142181396484
Egypt,Africa,93.2928695678711,43.2160797119141
El Salvador,North America,97.6975021362305,63.4158782958984
Equatorial Guinea,Africa,98.2617568969727,69.3323822021484
Eritrea,Africa,93.2716369628906,23.1846809387207
Estonia,Europe,99.9655303955078,99.7157211303711
Eswatini,Africa,94.7703094482422,53.6161117553711
Ethiopia,Africa,69.4917602539063,14.4704504013062
Gabon,Africa,89.1227111816406,64.7606582641602
Gambia,Africa,73.1925888061523,18.3812999725342
Georgia,Asia,99.7907791137695,99.4038467407227
Ghana,Africa,90.601432800293,44.5596618652344
Greece,Europe,99.6723709106445,83.7089996337891
Guam,Oceania,99.9833297729492,99.0984878540039
Guatemala,North America,93.2627410888672,46.8496398925781
Guinea,Africa,45.2463989257813,8.83156967163086
Guinea-Bissau,Africa,77.1389770507813,17.4059295654297
Guyana,South America,94.3712997436523,69.7744903564453
Haiti,North America,82.0557022094727,14.0608797073364
Honduras,North America,97.1838684082031,52.2576103210449
Hungary,Europe,99.3612213134766,99.1614608764648
India,Asia,89.6640625,42.7003593444824
Indonesia,Asia,99.7139511108398,74.7890167236328
Iran,Asia,98.0272216796875,39.1742210388184
Iraq,Asia,81.5401611328125,41.3643188476563
Italy,Europe,99.9097213745117,97.3935623168945
Jamaica,North America,96.4609375,68.0170364379883
Jordan,Asia,99.2348403930664,89.2403182983398
Kazakhstan,Asia,99.8412475585938,99.2476425170898
Kenya,Africa,85.8953018188477,50.8494911193848
Kuwait,Asia,99.4921035766602,72.8899765014648
Kyrgyzstan,Asia,99.7473297119141,95.5785064697266
Laos,Asia,90.2317199707031,45.3880310058594
Latvia,Europe,99.8282928466797,99.9291534423828
Lebanon,Asia,99.0963516235352,69.717658996582
Lesotho,Africa,85.0898208618164,60.6512985229492
Liberia,Africa,54.4714508056641,32.5046997070313
Libya,Africa,99.9502792358398,36.5928115844727
Lithuania,Europe,99.9091720581055,99.8350982666016
Macao,Asia,99.6559524536133,79.7151412963867
Madagascar,Africa,65.0692672729492,63.0983581542969
Malawi,Africa,75.0779724121094,38.6504898071289
Malaysia,Asia,98.4177093505859,70.4971008300781
